id,description_clean,nb_emojis,emojis_list,nb_alert_emojis,nb_whatsapp,nb_phones,nb_suspect_kw,suspicion_score,label_manuel,notes
140,"Description Attestation de Propriété individuel Lotissement viabilisé et Approuvé Superficie à partir de 314 m² jumelé de deux cotés Des autres terrains disponibles fait le coin à partir 420 m² Vocation R 2. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",12,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
139,"Description Deux Appartements indépendants et un studio Idéal pour investissement Rendement locatif Attestation de propriété individuel voisinage sélectif Emplacement stratégique l'état initial : Un duplex (s 4) indépendant Première étage avec entrée indépendante dispose Appartement typologie (s 1) Deuxième étage dispose Appartement typologie (s 2) rez de chaussée dispose d'un studio Superficie : 149 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",18,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
138,"Description Attestation de propriété individuel A proximité de toutes commodités Deux locaux commerciaux 4 compteurs électricité 2 compteurs gaz 2 compteurs d'eau Le rez- de chaussée ,dispose d'un Appartement (s 2) Le premier étage dispose d'un Appartement (s 2) Possibilité de bâtir un autre étage à cette maison . Terrasse Superficie 220 m² couvert Superficie 250 m² terrain. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",19,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
137,"Description idéal pour investissement ou habitation Proche de toutes commodités Lotissement viabilisé et approuvé Vocation R 2 La possibilité de bâtir un rez-de-chaussée et deux étages Superficie : 152 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",13,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
134,"DescriptionOn vous propose un local commercial d'une superficie 26 m² situé à Cité Zouhour proche de toutes commodités Un accès facile de stationnement Il convient pour tous types de commerces Compteur électricité individuel. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",10,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
133,"Description Villa de plain pied situé à Akouda dans un quartier calme et résidentiel Fait L'angle Attestation de propriété individuel Superficie terrain :400 m² Superficie couvert : 250 m² jardin avec système arrosage automatique Garage pour deux véhicules Caméra de Surveillance Système d'alarme Sandage Salle de bain avec sauna Suite parentale Dressing Chauffage Centrale Cuisine Agencée et équipée. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",22,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
132,"Description Frais d'enregistrement 1 (Directe Promoteur) Appartement bénéficie d'un luminosité naturelle Petite Résidence, gardée et sécurisée. Ascenseur Idéal pour investissement ou Habitation Différents typologie des Appartements disponibles (S 1 ): superficie allant de 42 m² à partir de 140 000 DT (S 2 ): superficie allant de 90 m² à partir de 210 000 DT (S 3 ): superficie allant de 120 m² à partir de 300 000 DT Remise de clé septembre 2026 . Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
115,"Description Appartement (S 0) avec meubles à Chatt Mariem Piscine collective Attestation de propriété individuel 100 m à la plage Appartement au premier étage bien entretenue Balcon Idéal pour investissement avec rentabilité locatif Résidence gardée et sécurisée Superficie 35 m². Appelez nous pour le visiter gratuitement.Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615Whatsapp / Botim.Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
5516,"Description Appartement (S 0) avec meubles à Chatt Mariem Piscine collective Attestation de propriété individuel 100 m à la plage Appartement au premier étage bien entretenue Balcon Idéal pour investissement avec rentabilité locatif Résidence gardée et sécurisée Superficie 35 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
157,"Description Appartement (S 0) avec meubles à Chatt Mariem Piscine collective Attestation de propriété individuel 100 m à la plage Appartement au premier étage bien entretenue Balcon Idéal pour investissement avec rentabilité locatif Résidence gardée et sécurisée Superficie 35 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
