id,description,source_name,nb_emojis,emojis_list,nb_alert_emojis,ratio_emojis,description_clean,langue,nb_mots,label,score,raison,erreur
15,"DescriptionNous vous proposons à la location 3 étages de bureau haut standing situé dans un immeuble bureautique prestigieux au lac 2 ,surface de 2300 m². il présente les caractéristiques suivantes:open space plus de bureaux en allu2300 m² sur trois étagescablagefaux plafondtoiletteskitchenetteaccés par gp9orientation sud estproximités des cafés et restaurants5 min de station de busparkingprix : 55580 dt/ht/moispour plus d'info veuillez rappeler notre agence au51603900/99603906/51614130",affare,0,,0,0.0,"DescriptionNous vous proposons à la location 3 étages de bureau haut standing situé dans un immeuble bureautique prestigieux au lac 2 ,surface de 2300 m². il présente les caractéristiques suivantes:open space plus de bureaux en allu2300 m² sur trois étagescablagefaux plafondtoiletteskitchenetteaccés par gp9orientation sud estproximités des cafés et restaurants5 min de station de busparkingprix : 55580 dt/ht/moispour plus d'info veuillez rappeler notre agence au51603900/99603906/51614130",fr,64,neutre_positif,0.8,"Description detaillee, mais pas d'agence ni de statut juridique",
16,"DescriptionMahjoub met en vente Une villa en phase finale de construction est disponible à la vente, située sur la route de la corniche Bizerte .dans une zone calme et agréable prés de toutes commoditésSuperficie terrain :730 m²Surface bâtie :500 m²Rez-de-chaussée comprenant un studio et un garage1er étage2 étageUn petit studio est situé sur le toit.Situation juridique : titre foncier individuelPrix de vente : 950 mille dinars (TND)Ne monquez pas cette opportunitéContacter-nous pour plus D'informations :+21697764800Merci de nous contacter au WhatsApp (+216)97764800Visite payante sur rendez-vous 30 dinars",affare,0,,0,0.0,"DescriptionMahjoub met en vente Une villa en phase finale de construction est disponible à la vente, située sur la route de la corniche Bizerte .dans une zone calme et agréable prés de toutes commoditésSuperficie terrain :730 m²Surface bâtie :500 m²Rez-de-chaussée comprenant un studio et un garage1er étage2 étageUn petit studio est situé sur le toit.Situation juridique : titre foncier individuelPrix de vente : 950 mille dinars (TND)Ne monquez pas cette opportunitéContacter-nous pour plus D'informations : 21697764800Merci de nous contacter au WhatsApp ( 216)97764800Visite payante sur rendez-vous 30 dinars",fr,88,positif,0.95,"Description detaillee, statut juridique clair",
17,DescriptionCollection Immo  met en vente une superbe Villa situé à beb mateur ayantSuperficie du Terrain : 300 m²Superficie Battie :117 m²S 'étandant sur 3 étages répartis comme suit:Rdc:Salon2 chambresUne cuisineSalle d eau équipée d'une doucheUne Véranda1 er EtageCuisine équipée avec terrasseSalle de bainSalle d eauDébarra2 Salons2 chambres avec terrassesUne Grande terrasse2 eme etageInachevé idéal pour ête une maison ou un studioPossibilité de Construire un 3 éme étageSituation juridique en régleUn prix attractif sur demandePour en avoir plus d infos et afin d organiser une visite merci de me contacter sur :+216 55 659 900,affare,0,,0,0.0,DescriptionCollection Immo met en vente une superbe Villa situé à beb mateur ayantSuperficie du Terrain : 300 m²Superficie Battie :117 m²S 'étandant sur 3 étages répartis comme suit:Rdc:Salon2 chambresUne cuisineSalle d eau équipée d'une doucheUne Véranda1 er EtageCuisine équipée avec terrasseSalle de bainSalle d eauDébarra2 Salons2 chambres avec terrassesUne Grande terrasse2 eme etageInachevé idéal pour ête une maison ou un studioPossibilité de Construire un 3 éme étageSituation juridique en régleUn prix attractif sur demandePour en avoir plus d infos et afin d organiser une visite merci de me contacter sur : 216 55 659 900,fr,95,neutre_positif,0.8,"Agence identifiee, details sur le bien, mais pas de prix",
18,"DescriptionRe/Max Gold met en vente un superbe Ranch avec un terrain agricole atteignant une superficie de 3 Hectares situé dans un endroit calme et serein comportant:Une pleinitude d arbres fruitiers:oliviers ,orangiers ,grenadiers ,figuiersUne culture de Vigne comportant plus de 700 arbresUn StudioUne Etable ÉquipéeUne Villa sur 2 Etages ayant une imprenable vue panoramique idéale pour programmer des HôtesUn PoulaillerUn sondage de 56 m de profondeur couvrant la totalité du terrainUne Situation juridique correcteAfin d' organiser une Visite merci de prendre contact avec Nour Aidly Conseillere Immobilier Remax Gold Tunisie sur+216 55 659 900nour.aidli@remax.com.tn",affare,0,,0,0.0,"DescriptionRe/Max Gold met en vente un superbe Ranch avec un terrain agricole atteignant une superficie de 3 Hectares situé dans un endroit calme et serein comportant:Une pleinitude d arbres fruitiers:oliviers ,orangiers ,grenadiers ,figuiersUne culture de Vigne comportant plus de 700 arbresUn StudioUne Etable ÉquipéeUne Villa sur 2 Etages ayant une imprenable vue panoramique idéale pour programmer des HôtesUn PoulaillerUn sondage de 56 m de profondeur couvrant la totalité du terrainUne Situation juridique correcteAfin d' organiser une Visite merci de prendre contact avec Nour Aidly Conseillere Immobilier Remax Gold Tunisie sur 216 55 659 900nour.aidli remax.com.tn",fr,95,positif,0.95,"Agence identifiee, description detaillee, statut clair",
52,"Description📍 GHAZELLA – VILLA À VENDRE SUR DEUX NIVEAUX SÉPARÉSL'agence #Mon_Réseau vous propose à la vente une villa indépendante, bâtie sur un terrain de 500 m², située dans un quartier résidentiel calme et sécurisé, proche de toutes commodités.Cette propriété spacieuse et lumineuse offre une surface bâtie de 420 m² répartie sur deux niveaux indépendants, avec un agencement fonctionnel idéal pour une grande famille ou pour une double occupation.🔹 REZ-DE-CHAUSSÉE (240 m²) :- Un vaste salon lumineux- Une salle à manger- Une cuisine équipée- Une salle d'eau invités- Deux salles de bain-Quatre chambres à coucher-Un abri pour 3 voitures- Un studio à l'extérieur🔹 ÉTAGE (180 m² avec accès indépendant) :- Un grand salon avec terrasse- Une cuisine moderne- Une salle de bain- Deux chambres à coucher avec dressings- Une suite parentale avec dressing et salle d'eau🔹 SOUS-SOL :- Un grand garage- Une pièce de débarras ou de rangement🚨 Jardin autour de la villa🚨PRIX DE VENTE : 780 MD✅ Autorisation de bâtir R+2 disponible✅ Titre foncier individuel en règleCette villa représente une opportunité unique d'acquérir une demeure de qualité dans un secteur stratégique et en pleine expansion.📞 Pour plus d'informations ou pour organiser une visite, merci de contacter notre conseillère en immobilier :📱 Téléphone : +216 98 115 202💬 WhatsApp : +216 98 115 202📧 E-mail : monreseau.immo@outlook.com",affare,12,📍 🔹 🚨 ✅ 📞 📱 💬 📧,2,0.0556,"Description GHAZELLA VILLA À VENDRE SUR DEUX NIVEAUX SÉPARÉSL'agence Mon_Réseau vous propose à la vente une villa indépendante, bâtie sur un terrain de 500 m², située dans un quartier résidentiel calme et sécurisé, proche de toutes commodités.Cette propriété spacieuse et lumineuse offre une surface bâtie de 420 m² répartie sur deux niveaux indépendants, avec un agencement fonctionnel idéal pour une grande famille ou pour une double occupation. REZ-DE-CHAUSSÉE (240 m²) :- Un vaste salon lumineux- Une salle à manger- Une cuisine équipée- Une salle d'eau invités- Deux salles de bain-Quatre chambres à coucher-Un abri pour 3 voitures- Un studio à l'extérieur ÉTAGE (180 m² avec accès indépendant) :- Un grand salon avec terrasse- Une cuisine moderne- Une salle de bain- Deux chambres à coucher avec dressings- Une suite parentale avec dressing et salle d'eau SOUS-SOL :- Un grand garage- Une pièce de débarras ou de rangement Jardin autour de la villa PRIX DE VENTE : 780 MD Autorisation de bâtir R 2 disponible Titre foncier individuel en règleCette villa représente une opportunité unique d'acquérir une demeure de qualité dans un secteur stratégique et en pleine expansion. Pour plus d'informations ou pour organiser une visite, merci de contacter notre conseillère en immobilier : Téléphone : 216 98 115 202 WhatsApp : 216 98 115 202 E-mail : monreseau.immo outlook.com",fr,218,neutre_positif,0.85,"Agence identifiee, mais sans prix ni statut juridique",
22,DescriptionA vendre un appartement s+3  à  cité Ennasr.𝐃𝐄𝐓𝐀𝐈𝐋𝐒 𝐃𝐔 𝐁𝐈𝐄𝐍➤ Superficie : 194 𝖒²➤ Typologie : S+3➤ Étage : 5ème avec ascenseur𝐀𝐌𝐄𝐍𝐀𝐆𝐄𝐌𝐄𝐍𝐓 𝐃𝐔 𝐁𝐈𝐄𝐍Un salon avec balconUne salle d'eau invitéesUne cuisine bien aménagée et équipée.3 chambres à coucher avec dressingsUne salle de bain commune𝐄𝐐𝐔𝐈𝐏𝐄𝐌𝐄𝐍𝐓𝐒chauffage centralclimatisation en split système2 places de parking sous sol𝑷𝒐𝒖𝒓 𝒑𝒍𝒖𝒔 𝒅'𝒊𝒏𝒇𝒐𝒓𝒎𝒂𝒕𝒊𝒐𝒏𝒔 𝒗𝒆𝒖𝒊𝒍𝒍𝒆𝒛 𝒏𝒐𝒖𝒔 𝒄𝒐𝒏𝒕𝒂𝒄𝒕𝒆𝒓24 657 657,affare,3,➤,0,0.05,DescriptionA vendre un appartement s 3 à cité Ennasr.𝐃𝐄𝐓𝐀𝐈𝐋𝐒 𝐃𝐔 𝐁𝐈𝐄𝐍 Superficie : 194 𝖒² Typologie : S 3 Étage : 5ème avec ascenseur𝐀𝐌𝐄𝐍𝐀𝐆𝐄𝐌𝐄𝐍𝐓 𝐃𝐔 𝐁𝐈𝐄𝐍Un salon avec balconUne salle d'eau invitéesUne cuisine bien aménagée et équipée.3 chambres à coucher avec dressingsUne salle de bain commune𝐄𝐐𝐔𝐈𝐏𝐄𝐌𝐄𝐍𝐓𝐒chauffage centralclimatisation en split système2 places de parking sous sol𝑷𝒐𝒖𝒓 𝒑𝒍𝒖𝒔 𝒅'𝒊𝒏𝒇𝒐𝒓𝒎𝒂𝒕𝒊𝒐𝒏𝒔 𝒗𝒆𝒖𝒊𝒍𝒍𝒆𝒛 𝒏𝒐𝒖𝒔 𝒄𝒐𝒏𝒕𝒂𝒄𝒕𝒆𝒓24 657 657,fr,62,neutre_positif,0.8,"Description detaillee, mais sans prix ni agence",
23,"DescriptionParticulier met en location pour étranger, un appartement S+4 meublé haut standing, spacieux neuf.dans une résidence , au cité les palmeraies , à proximité du Lac 2,se compose :- une salon spacieuse- 4 chambres de nuit dont 1 suite parentale avec Sdb .- une cuisine bien équipée + séchoir- une 2ème salle de bain avec salle d'eau.- une salle d'eau séparée.- une place de parking au sous-sol ,- chauffage central 4 climatiseurs 4 tv.- résidence sécurisée gardée et possède un espace vert agréable avec jardin d'enfants.Prix du loyer à l'année 2000 dt/mois avec 2 mois de caution.gsm +21655690000",affare,0,,0,0.0,"DescriptionParticulier met en location pour étranger, un appartement S 4 meublé haut standing, spacieux neuf.dans une résidence , au cité les palmeraies , à proximité du Lac 2,se compose :- une salon spacieuse- 4 chambres de nuit dont 1 suite parentale avec Sdb .- une cuisine bien équipée séchoir- une 2ème salle de bain avec salle d'eau.- une salle d'eau séparée.- une place de parking au sous-sol ,- chauffage central 4 climatiseurs 4 tv.- résidence sécurisée gardée et possède un espace vert agréable avec jardin d'enfants.Prix du loyer à l'année 2000 dt/mois avec 2 mois de caution.gsm 21655690000",fr,98,neutre_negatif,0.6,"Ciblage etrangers, pas de prix ni d'agence",
24,"DescriptionAgence Les Arcades met en location 🔑 pour les vacances un appartement de type s+1,situé dans une résidence sécurisée à la Falaise de Monastir près complexe touristique Marina .Comprenant wifi+IPTV + 2 climatiseurs +chauffage centralSeulement pour les familles👨‍👩‍👧‍👦Référence: 26👉Pour plus d'informations contactez notre Agence:🤗☎98 408 516☎💡📧 mail: agencelesarcadesimmo@gmail.com",affare,11,🔑 👨 👩 👧 👦 👉 🤗 ☎ 💡 📧,1,0.2292,"DescriptionAgence Les Arcades met en location pour les vacances un appartement de type s 1,situé dans une résidence sécurisée à la Falaise de Monastir près complexe touristique Marina .Comprenant wifi IPTV 2 climatiseurs chauffage centralSeulement pour les familles Référence: 26 Pour plus d'informations contactez notre Agence: 98 408 516 mail: agencelesarcadesimmo gmail.com",fr,52,positif,0.98,"Agence identifiee, email, ref unique, details",
25,"Descriptionparticulier met en location pour un étranger , à la résidence Erriadh Ennasr2. proche de la mosquée Essalem et magasin général très bel appartement s+1 bien meublé, haut standing et surtout très propre.se compose :Une Entrée indépendante.1 salon spacieuse .1 chambre de nuit .1 cuisine équipée .1 salle de bain .1 balcon qui s'ouvre sur un espace vert.chauffage central + climatisation + 2 tv avec récepteurs et abonnements intégrés + internet wi-fi illimité.Résidence dans un endroit idéal au plein centre du cité Ennasr2, sécurisée gardée jours et nuits.prix du loyer à l'année 1200 dt /mois avec 2 mois de caution.gsm propriétaire +21655690000étudiants et agences s'abstenir.",affare,0,,0,0.0,"Descriptionparticulier met en location pour un étranger , à la résidence Erriadh Ennasr2. proche de la mosquée Essalem et magasin général très bel appartement s 1 bien meublé, haut standing et surtout très propre.se compose :Une Entrée indépendante.1 salon spacieuse .1 chambre de nuit .1 cuisine équipée .1 salle de bain .1 balcon qui s'ouvre sur un espace vert.chauffage central climatisation 2 tv avec récepteurs et abonnements intégrés internet wi-fi illimité.Résidence dans un endroit idéal au plein centre du cité Ennasr2, sécurisée gardée jours et nuits.prix du loyer à l'année 1200 dt /mois avec 2 mois de caution.gsm propriétaire 21655690000étudiants et agences s'abstenir.",fr,103,neutre_negatif,0.6,"Ciblage etranger, pas de prix ni d'agence",
26,DescriptionMahjoub met à la vente un terrain constructible située à Borj Ghammez prés residence soltana bizerteVue panoramique sur BizerteSuperficie : 430 m²Documents Fournis : titre foncier individuelPrix de vente : 450 DT/m² (quatre cent cinquante dinars le mètre carré) (TND) OUI négociable.Contacter-nous pour plus D'informations : 0021697764800Merci de nous contacter au WhatsApp (+216)97764800Visite sur rdv à l'avanceVisite payante 30 dinarsBienvenue et merci,affare,0,,0,0.0,DescriptionMahjoub met à la vente un terrain constructible située à Borj Ghammez prés residence soltana bizerteVue panoramique sur BizerteSuperficie : 430 m²Documents Fournis : titre foncier individuelPrix de vente : 450 DT/m² (quatre cent cinquante dinars le mètre carré) (TND) OUI négociable.Contacter-nous pour plus D'informations : 0021697764800Merci de nous contacter au WhatsApp ( 216)97764800Visite sur rdv à l'avanceVisite payante 30 dinarsBienvenue et merci,fr,63,neutre_negatif,0.65,"2 numeros WhatsApp, prix negociable",
89,DescriptionMahjoub met en vente maison 2 étages à zarzouna BizerteDocuments Fournis : titre individuelPrix de vente : 130 Milles Dinars Négociable✔️Contactez-nous pour plus d'informations +21697764800Merci de nous contacter au WhatsApp (+216)97764800,affare,1,✔,0,0.0323,DescriptionMahjoub met en vente maison 2 étages à zarzouna BizerteDocuments Fournis : titre individuelPrix de vente : 130 Milles Dinars Négociable Contactez-nous pour plus d'informations 21697764800Merci de nous contacter au WhatsApp ( 216)97764800,fr,33,neutre_positif,0.85,"Prix et statut clairs, mais 2 numeros similaires",
28,"DescriptionA vendre studio à el menzah1 de 28m2,sur un terrain de 160m² ,prés de toutes commodités ,cartier prestigieux et calme:prix 3750/m² négociable .Tél 22597361",affare,0,,0,0.0,"DescriptionA vendre studio à el menzah1 de 28m2,sur un terrain de 160m² ,prés de toutes commodités ,cartier prestigieux et calme:prix 3750/m² négociable .Tél 22597361",fr,24,neutre_positif,0.8,Prix et details mais pas d'agence ni statut juridique,
