property_id,source_name,region_norm,anomaly_score,is_anomaly,fraud_score,fraud_flags,regional_context,model_version
tunisieannonce_bdf1b4af19ba,tunisieannonce,tunis,-0.3687,False,86.87,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bde64b05195c,tunisieannonce,tunis,-0.3533,False,85.33,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be26e4cf7851,tunisieannonce,tunis,-0.56,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bee433ebe4cf,tunisieannonce,tunis,-0.3534,False,85.34,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bea57c3e182a,tunisieannonce,tunis,-0.3857,False,88.57,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_ca089202e44a,tunisieannonce,tunis,-0.3821,False,88.21,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bec7f1d31bb9,tunisieannonce,tunis,-0.3679,False,86.79,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be666b43701b,tunisieannonce,tunis,-0.3426,False,84.26,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_beb1bc493c7c,tunisieannonce,tunis,-0.4031,False,90.31,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bf53f6998370,tunisieannonce,tunis,-0.3683,False,86.83,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bf6d96f96ddd,tunisieannonce,tunis,-0.4019,False,90.19,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bfdc853f3822,tunisieannonce,tunis,-0.383,False,88.3,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bf6e4f628475,tunisieannonce,tunis,-0.407,False,90.7,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bfd06f1a9049,tunisieannonce,tunis,-0.3716,False,87.16,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_c002191db237,tunisieannonce,tunis,-0.4514,False,95.14,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_71038cd51427,tunisieannonce,tunis,-0.347,False,84.7,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_02e0b379ff2b,century21,tunis,-0.3994,False,89.94,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_00449ec77402,century21,tunis,-0.3816,False,88.16,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_031b69100d7d,century21,tunis,-0.4212,False,92.12,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_02d29ba7dc54,century21,tunis,-0.4286,False,92.86,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_084a6d73e689,century21,tunis,-0.5634,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_06bd1bf41367,century21,tunis,-0.4007,False,90.07,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_077f2decb003,century21,tunis,-0.4028,False,90.28,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_07c08a212998,century21,tunis,-0.4495,False,94.95,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_0dd2bb14d722,century21,tunis,-0.4686,False,96.86,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_1aba80c46649,century21,tunis,-0.5931,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_0e6407551a27,century21,tunis,-0.4136,False,91.36,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_0e7abc0bd304,century21,tunis,-0.4563,False,95.63,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_0f8abe645aaa,century21,tunis,-0.4581,False,95.81,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_435589163746,tunisieannonce,tunis,-0.3704,False,87.04,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_121d339799e8,century21,tunis,-0.424,False,92.4,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_11d02ac0f672,century21,tunis,-0.4205,False,92.05,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_11cb0fbf6950,century21,tunis,-0.4094,False,90.94,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_1474ca3bef5d,century21,tunis,-0.4495,False,94.95,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_505d29472b2a,tunisieannonce,tunis,-0.4087,False,90.87,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_196ff1aa5dc3,century21,tunis,-0.461,False,96.1,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_43ecf99ff26a,tunisieannonce,tunis,-0.3711,False,87.11,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_191f35598ac0,century21,tunis,-0.4853,False,98.53,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_f32b70a1c306,tunisieannonce,tunis,-0.4943,False,99.43,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2150,century21,tunis,-0.525,False,100.0,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_21015be21ea9,century21,tunis,-0.3844,False,88.44,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2307025f158c,century21,tunis,-0.4047,False,90.47,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
mubawab_8105627,mubawab,tunis,-0.4645,False,96.45,"[""description_too_short""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_26627c5819bc,century21,tunis,-0.44,False,94.0,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2294f82184d4,century21,tunis,-0.416,False,91.6,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2843b00e4c7d,century21,tunis,-0.4369,False,93.69,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2d4b5571ad61,century21,tunis,-0.4445,False,94.45,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_2b58507c48ad,century21,tunis,-0.4042,False,90.42,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_a23998b12c08,century21,tunis,-0.3982,False,89.82,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3114d82eed86,century21,tunis,-0.4728,False,97.28,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_32dce02693df,century21,tunis,-0.5433,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3572353f854b,century21,tunis,-0.3862,False,88.62,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_347f54f1f121,century21,tunis,-0.3913,False,89.13,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3452f4daaec0,century21,tunis,-0.5523,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_356e73a2bfcf,century21,tunis,-0.4373,False,93.73,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_32e1a28a66b5,century21,tunis,-0.4493,False,94.93,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_10099aacf90d,tunisieannonce,tunis,-0.357,False,85.7,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_39b0e3338d5c,century21,tunis,-0.4501,False,95.01,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_361caf169058,century21,tunis,-0.3966,False,89.66,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_43f0ba794abc,tunisieannonce,tunis,-0.3526,False,85.26,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_366a8e518bcc,century21,tunis,-0.4069,False,90.69,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3c8ed2535105,century21,tunis,-0.4302,False,93.02,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_15a312582d6d,tunisieannonce,tunis,-0.3709,False,87.09,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3f9be412ebe8,century21,tunis,-0.4239,False,92.39,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_4000,century21,tunis,-0.5146,False,100.0,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_3eeb298bd730,century21,tunis,-0.423,False,92.3,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_5866975d79f2,tunisieannonce,tunis,-0.3967,False,89.67,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_441acd868ad7,century21,tunis,-0.4461,False,94.61,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_4469dfee02b5,century21,tunis,-0.3934,False,89.34,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_a59de41e91d3,tunisieannonce,tunis,-0.4262,False,92.62,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_462ff2b648c9,century21,tunis,-0.4236,False,92.36,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_470ba187fcfe,century21,tunis,-0.4103,False,91.03,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_48d7fd5f468a,century21,tunis,-0.6021,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_55f3b1f1fcf3,century21,tunis,-0.4422,False,94.22,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_4c5e7fbb0f02,century21,tunis,-0.4446,False,94.46,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
mubawab_8134835,mubawab,tunis,-0.4014,False,90.14,"[""description_too_short""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_4c7b3f4d179d,century21,tunis,-0.4368,False,93.68,"[""description_too_short""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_1c07a2a40006,tunisieannonce,tunis,-0.357,False,85.7,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_1c52da4a4f70,tunisieannonce,tunis,-0.4681,False,96.81,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_501b93b327b8,century21,tunis,-0.412,False,91.2,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_50636c9a39c7,century21,tunis,-0.5373,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_5076adb84682,century21,tunis,-0.3991,False,89.91,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_51be6fa113ce,century21,tunis,-0.4108,False,91.08,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_6da1fdfb4561,tunisieannonce,tunis,-0.446,False,94.6,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_550ea00e206f,century21,tunis,-0.4196,False,91.96,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_592c386e050b,century21,tunis,-0.4121,False,91.21,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_58c425a613bd,century21,tunis,-0.3945,False,89.45,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_58d5e550d7ab,century21,tunis,-0.3939,False,89.39,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_59cde04c053e,century21,tunis,-0.4735,False,97.35,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_78fa608ad33c,tunisieannonce,tunis,-0.3999,False,89.99,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_5b6afc354884,century21,tunis,-0.4449,False,94.49,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_605a11c9849c,century21,tunis,-0.4308,False,93.08,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_627a3854a9b4,century21,tunis,-0.634,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_6265d73de2d9,century21,tunis,-0.389,False,88.9,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_640f193bf6cb,century21,tunis,-0.4365,False,93.65,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_692ec1ce27af,century21,tunis,-0.3991,False,89.91,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_a374c68a9bde,century21,tunis,-0.4227,False,92.27,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_6c682d1ed2b3,century21,tunis,-0.4311,False,93.11,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_72da86bac748,century21,tunis,-0.3957,False,89.57,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_7142a9e06b2b,century21,tunis,-0.5656,True,100.0,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_754ff3689da4,century21,tunis,-0.4017,False,90.17,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_76c858e7fd9f,century21,tunis,-0.3945,False,89.45,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
