property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
affare_256718,affare,0.0,positive,0.2678,0.75,28.12,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_247788,affare,0.0898,neutral,0.2535,0.0,12.46,normal,[],xlm_roberta_mdeberta_v1,
affare_246872,affare,0.0,positive,0.4181,0.0,14.63,normal,[],xlm_roberta_mdeberta_v1,
affare_241047,affare,0.0,positive,0.4162,0.3,22.07,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_245971,affare,0.0,positive,0.3785,0.0,13.25,normal,[],xlm_roberta_mdeberta_v1,
affare_243701,affare,0.4713,negative,0.3894,0.55,46.23,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257950,affare,0.6432,negative,0.399,0.55,53.44,fraud_likely,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,"Cette annonce immobilière est suspecte en raison de son score élevé de fraude (53.4/100), sentiment négatif (score 0.64), et des flags urgence détectée et contact externe déclenchés, ainsi que l'absence d'informations claires sur la maison en vente et le manque de transparence dans les moyens de communication fournis."
affare_246565,affare,0.0,positive,0.2314,0.25,14.35,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_241651,affare,0.0,positive,0.2942,0.75,29.05,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_248366,affare,0.0,positive,0.383,0.75,32.16,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
mubawab_8320001,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_248970,affare,0.0,positive,0.3461,0.55,25.86,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_252013,affare,0.0,positive,0.3658,0.75,31.55,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_249844,affare,0.0,positive,0.4127,0.3,21.94,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_248967,affare,0.0,positive,0.3865,0.55,27.28,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_250291,affare,0.4655,negative,0.4252,0.55,47.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_250596,affare,0.0723,neutral,0.3308,0.75,33.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_249009,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
affare_254271,affare,0.0,positive,0.3037,0.0,10.63,normal,[],xlm_roberta_mdeberta_v1,
affare_255365,affare,0.3495,negative,0.373,0.55,40.78,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_254550,affare,0.0,positive,0.4238,0.75,33.58,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_254771,affare,0.4722,negative,0.3759,0.75,50.79,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,"Cette annonce immobilière est suspecte en raison de son score de fraude élevé (50.8/100), sentiment négatif (score 0.47), détection d'urgence, contact externe et l'absence de photos."
affare_256520,affare,0.3207,negative,0.4262,0.55,41.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_253269,affare,0.0,positive,0.4132,0.2,19.46,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_253769,affare,0.3066,negative,0.4169,0.0,26.86,suspect,[],xlm_roberta_mdeberta_v1,
affare_254124,affare,0.2767,negative,0.4541,0.25,33.21,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_254459,affare,0.3698,negative,0.357,0.55,41.04,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_256388,affare,0.0,positive,0.3046,0.55,24.41,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_255524,affare,0.0,positive,0.427,0.55,28.7,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_255747,affare,0.0,positive,0.2486,0.75,27.45,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_255449,affare,0.4153,negative,0.3774,0.55,43.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257892,affare,0.0,positive,0.4264,0.0,14.92,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_afe994372718,tunisieannonce,0.6435,negative,0.3621,0.25,44.66,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_256408,affare,0.4547,negative,0.352,0.3,38.01,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_257357,affare,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
affare_257444,affare,0.3323,negative,0.3545,0.55,39.45,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257450,affare,0.3998,negative,0.3697,0.55,42.68,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257282,affare,0.3844,negative,0.3787,0.55,42.38,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_a77853c45490,tunisieannonce,0.0697,neutral,0.3723,0.55,29.57,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257369,affare,0.0,positive,0.3926,0.25,19.99,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257399,affare,0.0,positive,0.3999,0.55,27.75,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_256795,affare,0.2306,negative,0.394,0.0,23.01,suspect,[],xlm_roberta_mdeberta_v1,
affare_259199,affare,0.0761,neutral,0.3146,0.25,20.3,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257791,affare,0.3538,negative,0.4227,0.3,36.45,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_257455,affare,0.3903,negative,0.3507,0.75,46.64,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_a594db9e20d5,tunisieannonce,0.0,positive,0.3598,0.25,18.84,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257460,affare,0.3661,negative,0.3686,0.75,46.29,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257803,affare,0.3892,negative,0.3862,0.75,47.84,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257804,affare,0.405,negative,0.3977,0.75,48.87,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257453,affare,0.4127,negative,0.3502,0.75,47.52,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257543,affare,0.4313,negative,0.326,0.5,41.16,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_257799,affare,0.0,positive,0.3535,0.2,17.37,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_257683,affare,0.0,positive,0.4607,0.25,22.37,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257942,affare,0.0,positive,0.4062,0.55,27.97,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259236,affare,0.0,positive,0.3218,0.25,17.51,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_257940,affare,0.0,positive,0.3721,0.55,26.77,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257932,affare,0.806,negative,0.4441,0.3,55.28,fraud_likely,"['urgency_detected', 'strong_negative_sentiment']",xlm_roberta_mdeberta_v1,
affare_257805,affare,0.3894,negative,0.3653,0.55,42.11,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_257808,affare,0.4389,negative,0.3715,0.75,49.31,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_258727,affare,0.3698,negative,0.3422,0.0,26.77,suspect,[],xlm_roberta_mdeberta_v1,
affare_258672,affare,0.1048,neutral,0.3503,0.3,23.95,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_258751,affare,0.0784,neutral,0.3718,0.55,29.9,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258568,affare,0.2426,negative,0.4313,0.55,38.55,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258480,affare,0.0,positive,0.2863,0.3,17.52,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_258612,affare,0.0,positive,0.3313,0.3,19.1,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
century21_a1a09a825273,century21,0.0,positive,0.3576,0.2,17.52,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_258700,affare,0.3448,negative,0.3529,0.0,26.14,suspect,[],xlm_roberta_mdeberta_v1,
affare_259178,affare,0.2837,negative,0.2404,0.75,38.51,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259200,affare,0.0805,neutral,0.4,0.25,23.47,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259176,affare,0.258,negative,0.2619,0.25,25.74,suspect,['vague_description'],xlm_roberta_mdeberta_v1,
affare_259174,affare,0.2664,negative,0.2525,0.75,38.24,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_0ff7ae1b5e1e,tunisieannonce,0.0,positive,0.333,0.0,11.65,normal,[],xlm_roberta_mdeberta_v1,
affare_259177,affare,0.4335,negative,0.3496,0.55,43.33,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258985,affare,0.0753,neutral,0.4087,0.55,31.07,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_258966,affare,0.3105,negative,0.3767,0.55,39.35,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259181,affare,0.3596,negative,0.3446,0.0,26.44,suspect,[],xlm_roberta_mdeberta_v1,
affare_259175,affare,0.4072,negative,0.2846,0.75,45.0,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259186,affare,0.3568,negative,0.2903,0.55,38.18,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259185,affare,0.0,positive,0.285,0.0,9.97,normal,[],xlm_roberta_mdeberta_v1,
affare_259183,affare,0.2758,negative,0.3986,0.55,38.73,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259184,affare,0.344,negative,0.3093,0.75,43.34,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259194,affare,0.0,positive,0.2949,0.0,10.32,normal,[],xlm_roberta_mdeberta_v1,
affare_259193,affare,0.0,positive,0.4101,0.0,14.35,normal,[],xlm_roberta_mdeberta_v1,
affare_259189,affare,0.3491,negative,0.346,0.75,44.82,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259192,affare,0.0,positive,0.2528,0.2,13.85,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259234,affare,0.074,neutral,0.4418,0.3,25.92,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259237,affare,0.2589,negative,0.4663,0.3,34.18,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259196,affare,0.0,positive,0.3993,0.2,18.98,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259235,affare,0.2542,negative,0.429,0.3,32.68,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259238,affare,0.0,positive,0.3607,0.0,12.62,normal,[],xlm_roberta_mdeberta_v1,
affare_259198,affare,0.0818,neutral,0.3498,0.3,23.02,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259243,affare,0.4845,negative,0.2466,0.75,46.76,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259245,affare,0.2549,negative,0.2475,0.75,37.61,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259247,affare,0.0,positive,0.3571,0.55,26.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259239,affare,0.3689,negative,0.3302,0.2,31.31,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259241,affare,0.3459,negative,0.33,0.55,39.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_0f72d51de091,tunisieannonce,0.0,positive,0.3316,0.0,11.61,normal,[],xlm_roberta_mdeberta_v1,
affare_259246,affare,0.3888,negative,0.2549,0.75,43.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259242,affare,0.2521,negative,0.2588,0.75,37.89,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259244,affare,0.3298,negative,0.3629,0.55,39.64,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259250,affare,0.0,positive,0.3616,0.55,26.41,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259295,affare,0.4703,negative,0.3139,0.2,34.8,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259279,affare,0.0,positive,0.258,0.55,22.78,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_0f34ccae32a6,tunisieannonce,0.0,positive,0.3269,0.0,11.44,normal,[],xlm_roberta_mdeberta_v1,
affare_259296,affare,0.0,positive,0.39,0.0,13.65,normal,[],xlm_roberta_mdeberta_v1,
affare_259299,affare,0.0,positive,0.3252,0.0,11.38,normal,[],xlm_roberta_mdeberta_v1,
mubawab_8323438,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_259298,affare,0.0,positive,0.3794,0.2,18.28,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259307,affare,0.0,positive,0.3702,0.0,12.96,normal,[],xlm_roberta_mdeberta_v1,
affare_259305,affare,0.2813,negative,0.2665,0.75,39.33,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_128424,newkey,0.0,positive,0.3335,0.0,11.67,normal,[],xlm_roberta_mdeberta_v1,
affare_259304,affare,0.069,neutral,0.3813,0.75,34.86,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259315,affare,0.2464,negative,0.3548,0.55,36.02,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259308,affare,0.2707,negative,0.2415,0.75,38.03,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259310,affare,0.3662,negative,0.4187,0.55,43.05,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259415,affare,0.0,positive,0.3882,0.0,13.59,normal,[],xlm_roberta_mdeberta_v1,
affare_259412,affare,0.5629,negative,0.3033,0.2,38.13,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259406,affare,0.0,positive,0.2979,0.2,15.43,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259417,affare,0.351,negative,0.3815,0.55,41.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259403,affare,0.0836,neutral,0.3406,0.55,29.02,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259405,affare,0.0,positive,0.3536,0.0,12.38,normal,[],xlm_roberta_mdeberta_v1,
affare_259488,affare,0.0,positive,0.3242,0.0,11.35,normal,[],xlm_roberta_mdeberta_v1,
affare_259423,affare,0.0,positive,0.3522,0.0,12.33,normal,[],xlm_roberta_mdeberta_v1,
affare_259425,affare,0.086,neutral,0.381,0.3,24.28,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_259419,affare,0.0,positive,0.3508,0.0,12.28,normal,[],xlm_roberta_mdeberta_v1,
affare_259418,affare,0.0,positive,0.3989,0.2,18.96,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259426,affare,0.0,positive,0.3884,0.2,18.59,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259428,affare,0.4402,negative,0.3033,0.55,41.97,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259489,affare,0.0839,neutral,0.3676,0.0,16.22,normal,[],xlm_roberta_mdeberta_v1,
affare_259481,affare,0.0,positive,0.3836,0.0,13.43,normal,[],xlm_roberta_mdeberta_v1,
affare_259430,affare,0.2437,negative,0.2466,0.75,37.13,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259483,affare,0.0696,neutral,0.4287,0.75,36.54,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259490,affare,0.0,positive,0.3759,0.2,18.16,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259480,affare,0.0,positive,0.2568,0.0,8.99,normal,[],xlm_roberta_mdeberta_v1,
affare_259429,affare,0.2452,negative,0.3211,0.75,39.8,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259501,affare,0.0,positive,0.3532,0.75,31.11,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259496,affare,0.2633,negative,0.2414,0.75,37.73,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259494,affare,0.2459,negative,0.3313,0.55,35.18,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259498,affare,0.0,positive,0.3703,0.2,17.96,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259560,affare,0.0,positive,0.4098,0.0,14.34,normal,[],xlm_roberta_mdeberta_v1,
affare_259491,affare,0.0,positive,0.3461,0.2,17.11,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259502,affare,0.0,positive,0.3389,0.0,11.86,normal,[],xlm_roberta_mdeberta_v1,
affare_259507,affare,0.351,negative,0.3815,0.55,41.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259506,affare,0.2339,negative,0.3479,0.2,26.53,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259512,affare,0.3459,negative,0.33,0.55,39.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259510,affare,0.0757,neutral,0.3171,0.55,27.88,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259508,affare,0.3004,negative,0.3443,0.75,42.82,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259504,affare,0.3998,negative,0.3698,0.55,42.69,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_128206,newkey,0.0,positive,0.2929,0.0,10.25,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_43e4d8cddfd7,tunisieannonce,0.0,positive,0.3647,0.2,17.76,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_259515,affare,0.0,positive,0.2538,0.0,8.88,normal,[],xlm_roberta_mdeberta_v1,
affare_259551,affare,0.3846,negative,0.3619,0.75,46.8,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259554,affare,0.3888,negative,0.2549,0.75,43.22,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259555,affare,0.2834,negative,0.3075,0.75,40.85,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259553,affare,0.0,positive,0.2684,0.55,23.14,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259547,affare,0.0,positive,0.3152,0.0,11.03,normal,[],xlm_roberta_mdeberta_v1,
affare_259567,affare,0.0,positive,0.3616,0.0,12.66,normal,[],xlm_roberta_mdeberta_v1,
affare_259566,affare,0.0,positive,0.3882,0.0,13.59,normal,[],xlm_roberta_mdeberta_v1,
affare_259563,affare,0.0,positive,0.3856,0.55,27.25,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259564,affare,0.0,positive,0.3421,0.0,11.97,normal,[],xlm_roberta_mdeberta_v1,
affare_259562,affare,0.0,positive,0.3471,0.0,12.15,normal,[],xlm_roberta_mdeberta_v1,
affare_259558,affare,0.2731,negative,0.3789,0.75,42.94,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259559,affare,0.4038,negative,0.3237,0.75,46.23,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_259565,affare,0.0,positive,0.3734,0.55,26.82,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259669,affare,0.0,positive,0.2659,0.0,9.31,normal,[],xlm_roberta_mdeberta_v1,
affare_259570,affare,0.0,positive,0.3252,0.55,25.13,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_259573,affare,0.0,positive,0.3156,0.25,17.3,normal,['external_contact'],xlm_roberta_mdeberta_v1,
affare_259670,affare,0.0,positive,0.4215,0.0,14.75,normal,[],xlm_roberta_mdeberta_v1,
affare_259569,affare,0.0,positive,0.3262,0.0,11.42,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b8abb6a805e1,tunisieannonce,0.0,positive,0.3671,0.45,24.1,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_b81b9d8c8ba6,tunisieannonce,0.0,positive,0.3749,0.0,13.12,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b84cb4c3f4fb,tunisieannonce,0.0,positive,0.3555,0.0,12.44,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b88c8bf9ce17,tunisieannonce,0.0,positive,0.3784,0.0,13.24,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b893c2e92139,tunisieannonce,0.0,positive,0.3587,0.0,12.55,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b84e2934cda6,tunisieannonce,0.0,positive,0.3764,0.0,13.17,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b9a30b7d42b1,tunisieannonce,0.0,positive,0.3198,0.5,23.69,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_b91ee3b67881,tunisieannonce,0.0,positive,0.3322,0.3,19.13,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
tunisieannonce_b93550753cf2,tunisieannonce,0.0,positive,0.3114,0.0,10.9,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b949cbb58cb0,tunisieannonce,0.4878,negative,0.3759,0.45,43.92,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_b96792813927,tunisieannonce,0.0,positive,0.3915,0.55,27.45,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_b9a3bab8143d,tunisieannonce,0.0,positive,0.3252,0.25,17.63,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_b92e362ba16f,tunisieannonce,0.0742,neutral,0.3537,0.0,15.35,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b91e0636dc89,tunisieannonce,0.0,positive,0.3468,0.3,19.64,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
tunisieannonce_ba1b6ac3f7a7,tunisieannonce,0.1756,negative,0.3112,0.0,17.92,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b9daf9c3a84c,tunisieannonce,0.0,positive,0.3407,0.0,11.92,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_ba2326f25f90,tunisieannonce,0.0,positive,0.416,0.45,25.81,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_b9ad3aed4f63,tunisieannonce,0.0,positive,0.3755,0.2,18.14,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_b9b93dbde4fb,tunisieannonce,0.4031,negative,0.3404,0.0,28.04,suspect,[],xlm_roberta_mdeberta_v1,
tunisieannonce_b9a69916262b,tunisieannonce,0.0,positive,0.3777,0.0,13.22,normal,[],xlm_roberta_mdeberta_v1,
